ym,reports,ma12,z
201909,687,526.6666666666666,2.9188102574125625
201910,685,538.4166666666666,2.8949740463409808
201911,657,549.75,2.5612670913388413
201507,633,451.9166666666667,2.275232558479865
201907,630,500.3333333333333,2.239478241872493
202007,617,470.4166666666667,2.0845428699072137
201908,616,512.75,2.072624764371423
201812,604,471.6666666666667,1.9296074979419346
201111,591,468.27272727272725,1.7746721259766556
201612,589,450.9166666666667,1.7508359149050743
